t,amk_torque_limit_neg_left,amk_torque_limit_pos_left,amk_torque_target_left,amk_control_left
1751195746.275450,0.000000,214.200000,4.800000,1795.000000
1751195746.285450,0.000000,214.200000,4.800000,1795.000000
1751195746.295700,0.000000,214.200000,4.800000,1795.000000
1751195746.305450,0.000000,214.200000,4.800000,1795.000000
1751195746.315450,0.000000,214.200000,4.800000,1795.000000
1751195746.325450,0.000000,214.200000,4.800000,1795.000000
1751195746.335450,0.000000,214.200000,4.800000,1795.000000
1751195746.345450,0.000000,214.200000,4.800000,1795.000000
1751195746.355450,0.000000,214.200000,4.800000,1795.000000
1751195746.365400,0.000000,214.200000,4.100000,1795.000000
1751195746.375450,0.000000,214.200000,4.100000,1795.000000
1751195746.385450,0.000000,214.200000,4.100000,1795.000000
1751195746.395400,0.000000,214.200000,4.100000,1795.000000
1751195746.405450,0.000000,214.200000,4.100000,1795.000000
1751195746.415450,0.000000,214.200000,4.100000,1795.000000
1751195746.425450,0.000000,214.200000,4.100000,1795.000000
1751195746.435400,0.000000,214.200000,4.100000,1795.000000
1751195746.445450,0.000000,214.200000,4.100000,1795.000000
1751195746.455400,0.000000,214.200000,4.100000,1795.000000
1751195746.465400,0.000000,214.200000,4.100000,1795.000000
1751195746.475450,0.000000,214.200000,4.100000,1795.000000
1751195746.485450,0.000000,214.200000,4.100000,1795.000000
1751195746.495450,0.000000,214.200000,4.100000,1795.000000
1751195746.505450,0.000000,214.200000,4.100000,1795.000000
1751195746.515450,0.000000,214.200000,4.800000,1795.000000
1751195746.525400,0.000000,214.200000,4.800000,1795.000000
1751195746.535450,0.000000,214.200000,4.800000,1795.000000
1751195746.545450,0.000000,214.200000,4.800000,1795.000000
1751195746.555400,0.000000,214.200000,4.800000,1795.000000
1751195746.565450,0.000000,214.200000,4.100000,1795.000000
1751195746.575450,0.000000,214.200000,4.100000,1795.000000
1751195746.585450,0.000000,214.200000,4.100000,1795.000000
1751195746.595450,0.000000,214.200000,4.100000,1795.000000
1751195746.605450,0.000000,214.200000,4.100000,1795.000000
1751195746.615450,0.000000,214.200000,4.800000,1795.000000
1751195746.625450,0.000000,214.200000,4.800000,1795.000000
1751195746.635400,0.000000,214.200000,4.800000,1795.000000
1751195746.645450,0.000000,214.200000,4.800000,1795.000000
1751195746.655450,0.000000,214.200000,4.800000,1795.000000
1751195746.665400,0.000000,214.200000,4.100000,1795.000000
1751195746.675450,0.000000,214.200000,4.100000,1795.000000
1751195746.685400,0.000000,214.200000,4.100000,1795.000000
1751195746.695400,0.000000,214.200000,4.100000,1795.000000
1751195746.705400,0.000000,214.200000,4.100000,1795.000000
1751195746.715450,0.000000,214.200000,4.100000,1795.000000
1751195746.725450,0.000000,214.200000,4.100000,1795.000000
1751195746.735400,0.000000,214.200000,4.100000,1795.000000
1751195746.745450,0.000000,214.200000,4.100000,1795.000000
1751195746.755450,0.000000,214.200000,4.100000,1795.000000
1751195746.765400,0.000000,214.200000,4.100000,1795.000000
1751195746.775450,0.000000,214.200000,4.100000,1795.000000
1751195746.785450,0.000000,214.200000,4.100000,1795.000000
1751195746.795400,0.000000,214.200000,4.100000,1795.000000
1751195746.805400,0.000000,214.200000,4.100000,1795.000000
1751195746.815400,0.000000,214.200000,4.800000,1795.000000
1751195746.825450,0.000000,214.200000,4.800000,1795.000000
1751195746.835400,0.000000,214.200000,4.800000,1795.000000
1751195746.845400,0.000000,214.200000,4.800000,1795.000000
1751195746.855400,0.000000,214.200000,4.800000,1795.000000
1751195746.865400,0.000000,214.200000,4.800000,1795.000000
1751195746.875450,0.000000,214.200000,4.800000,1795.000000
1751195746.885450,0.000000,214.200000,4.800000,1795.000000
1751195746.895400,0.000000,214.200000,4.800000,1795.000000
1751195746.905450,0.000000,214.200000,4.800000,1795.000000
1751195746.915450,0.000000,214.200000,4.100000,1795.000000
1751195746.925700,0.000000,214.200000,4.100000,1795.000000
1751195746.935400,0.000000,214.200000,4.100000,1795.000000
1751195746.945450,0.000000,214.200000,4.100000,1795.000000
1751195746.955700,0.000000,214.200000,4.100000,1795.000000
1751195746.965400,0.000000,214.200000,4.100000,1795.000000
1751195746.975400,0.000000,214.200000,4.100000,1795.000000
1751195746.985450,0.000000,214.200000,4.100000,1795.000000
1751195746.995400,0.000000,214.200000,4.100000,1795.000000
1751195747.005450,0.000000,214.200000,4.100000,1795.000000
1751195747.015450,0.000000,214.200000,4.100000,1795.000000
1751195747.025500,0.000000,214.200000,4.100000,1795.000000
1751195747.035450,0.000000,214.200000,4.100000,1795.000000
1751195747.045450,0.000000,214.200000,4.100000,1795.000000
1751195747.055400,0.000000,214.200000,4.100000,1795.000000
1751195747.065450,0.000000,214.200000,4.800000,1795.000000
1751195747.075450,0.000000,214.200000,4.800000,1795.000000
1751195747.085450,0.000000,214.200000,4.800000,1795.000000
1751195747.095450,0.000000,214.200000,4.800000,1795.000000
1751195747.105450,0.000000,214.200000,4.800000,1795.000000
1751195747.115400,0.000000,214.200000,4.800000,1795.000000
1751195747.125450,0.000000,214.200000,4.800000,1795.000000
1751195747.135450,0.000000,214.200000,4.800000,1795.000000
1751195747.145400,0.000000,214.200000,4.800000,1795.000000
1751195747.155450,0.000000,214.200000,4.800000,1795.000000
1751195747.165650,0.000000,214.200000,4.800000,1795.000000
1751195747.175400,0.000000,214.200000,4.800000,1795.000000
1751195747.185400,0.000000,214.200000,4.800000,1795.000000
1751195747.195700,0.000000,214.200000,4.800000,1795.000000
1751195747.205450,0.000000,214.200000,4.800000,1795.000000
1751195747.215400,0.000000,214.200000,3.400000,1795.000000
1751195747.225450,0.000000,214.200000,3.400000,1795.000000
1751195747.235400,0.000000,214.200000,3.400000,1795.000000
1751195747.245400,0.000000,214.200000,3.400000,1795.000000
1751195747.255400,0.000000,214.200000,3.400000,1795.000000
1751195747.265450,0.000000,214.200000,3.400000,1795.000000
1751195747.275400,0.000000,214.200000,3.400000,1795.000000
1751195747.285400,0.000000,214.200000,3.400000,1795.000000
1751195747.295450,0.000000,214.200000,3.400000,1795.000000
1751195747.305400,0.000000,214.200000,3.400000,1795.000000
1751195747.315450,0.000000,214.200000,4.800000,1795.000000
1751195747.325450,0.000000,214.200000,4.800000,1795.000000
1751195747.335400,0.000000,214.200000,4.800000,1795.000000
1751195747.345450,0.000000,214.200000,4.800000,1795.000000
1751195747.355450,0.000000,214.200000,4.800000,1795.000000
1751195747.365400,0.000000,214.200000,4.800000,1795.000000
1751195747.375400,0.000000,214.200000,4.800000,1795.000000
1751195747.385400,0.000000,214.200000,4.800000,1795.000000
1751195747.395400,0.000000,214.200000,4.800000,1795.000000
1751195747.405450,0.000000,214.200000,4.800000,1795.000000
1751195747.415400,0.000000,214.200000,4.800000,1795.000000
1751195747.425400,0.000000,214.200000,4.800000,1795.000000
1751195747.435400,0.000000,214.200000,4.800000,1795.000000
1751195747.445400,0.000000,214.200000,4.800000,1795.000000
1751195747.455400,0.000000,214.200000,4.800000,1795.000000
1751195747.465400,0.000000,214.200000,4.100000,1795.000000
1751195747.475450,0.000000,214.200000,4.100000,1795.000000
1751195747.485400,0.000000,214.200000,4.100000,1795.000000
1751195747.495400,0.000000,214.200000,4.100000,1795.000000
1751195747.505400,0.000000,214.200000,4.100000,1795.000000
1751195747.515400,0.000000,214.200000,3.400000,1795.000000
1751195747.525450,0.000000,214.200000,3.400000,1795.000000
1751195747.535450,0.000000,214.200000,3.400000,1795.000000
1751195747.545400,0.000000,214.200000,3.400000,1795.000000
1751195747.555400,0.000000,214.200000,3.400000,1795.000000
1751195747.565400,0.000000,214.200000,4.100000,1795.000000
1751195747.575650,0.000000,214.200000,4.100000,1795.000000
1751195747.585400,0.000000,214.200000,4.100000,1795.000000
1751195747.595450,0.000000,214.200000,4.100000,1795.000000
1751195747.605650,0.000000,214.200000,4.100000,1795.000000
1751195747.615400,0.000000,214.200000,4.800000,1795.000000
1751195747.625400,0.000000,214.200000,4.800000,1795.000000
1751195747.635450,0.000000,214.200000,4.800000,1795.000000
1751195747.645400,0.000000,214.200000,4.800000,1795.000000
1751195747.655450,0.000000,214.200000,4.800000,1795.000000
1751195747.665400,0.000000,214.200000,4.100000,1795.000000
1751195747.675450,0.000000,214.200000,4.100000,1795.000000
1751195747.685350,0.000000,214.200000,4.100000,1795.000000
1751195747.695400,0.000000,214.200000,4.100000,1795.000000
1751195747.705400,0.000000,214.200000,4.100000,1795.000000
1751195747.715400,0.000000,214.200000,4.800000,1795.000000
1751195747.725450,0.000000,214.200000,4.800000,1795.000000
1751195747.735400,0.000000,214.200000,4.800000,1795.000000
1751195747.745400,0.000000,214.200000,4.800000,1795.000000
1751195747.755400,0.000000,214.200000,4.800000,1795.000000
1751195747.765400,0.000000,214.200000,3.400000,1795.000000
1751195747.775450,0.000000,214.200000,3.400000,1795.000000
1751195747.785450,0.000000,214.200000,3.400000,1795.000000
1751195747.795400,0.000000,214.200000,3.400000,1795.000000
1751195747.805400,0.000000,214.200000,3.400000,1795.000000
1751195747.815650,0.000000,214.200000,4.100000,1795.000000
1751195747.825400,0.000000,214.200000,4.100000,1795.000000
1751195747.835450,0.000000,214.200000,4.100000,1795.000000
1751195747.845650,0.000000,214.200000,4.100000,1795.000000
1751195747.855400,0.000000,214.200000,4.100000,1795.000000
1751195747.865400,0.000000,214.200000,4.100000,1795.000000
1751195747.875450,0.000000,214.200000,4.100000,1795.000000
1751195747.885400,0.000000,214.200000,4.100000,1795.000000
1751195747.895400,0.000000,214.200000,4.100000,1795.000000
1751195747.905400,0.000000,214.200000,4.100000,1795.000000
1751195747.915450,0.000000,214.200000,4.800000,1795.000000
1751195747.925400,0.000000,214.200000,4.800000,1795.000000
1751195747.935400,0.000000,214.200000,4.800000,1795.000000
1751195747.945450,0.000000,214.200000,4.800000,1795.000000
1751195747.955400,0.000000,214.200000,4.800000,1795.000000
1751195747.965400,0.000000,214.200000,4.100000,1795.000000
1751195747.975450,0.000000,214.200000,4.100000,1795.000000
1751195747.985400,0.000000,214.200000,4.100000,1795.000000
1751195747.995400,0.000000,214.200000,4.100000,1795.000000
1751195748.005350,0.000000,214.200000,4.100000,1795.000000
1751195748.015450,0.000000,214.200000,4.100000,1795.000000
1751195748.025400,0.000000,214.200000,4.100000,1795.000000
1751195748.035400,0.000000,214.200000,4.100000,1795.000000
1751195748.045450,0.000000,214.200000,4.100000,1795.000000
1751195748.055400,0.000000,214.200000,4.100000,1795.000000
1751195748.065350,0.000000,214.200000,4.100000,1795.000000
1751195748.075400,0.000000,214.200000,4.100000,1795.000000
1751195748.085400,0.000000,214.200000,4.100000,1795.000000
1751195748.095350,0.000000,214.200000,4.100000,1795.000000
1751195748.105400,0.000000,214.200000,4.100000,1795.000000
1751195748.115400,0.000000,214.200000,4.100000,1795.000000
1751195748.125450,0.000000,214.200000,4.100000,1795.000000
1751195748.135400,0.000000,214.200000,4.100000,1795.000000
1751195748.145400,0.000000,214.200000,4.100000,1795.000000
1751195748.155400,0.000000,214.200000,4.100000,1795.000000
1751195748.165400,0.000000,214.200000,4.800000,1795.000000
1751195748.175400,0.000000,214.200000,4.800000,1795.000000
1751195748.185350,0.000000,214.200000,4.800000,1795.000000
1751195748.195400,0.000000,214.200000,4.800000,1795.000000
