t,ams_voltage_max_8,ams_voltage_max_7,ams_voltage_max_6,ams_voltage_max_5,ams_voltage_max_4,ams_voltage_max_3,ams_voltage_max_2,ams_voltage_max_1
1751196028.520400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.531700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.550300,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.561600,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.572900,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.591600,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.602900,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.614150,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.625450,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.644100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.655350,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.666650,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.696550,3.890000,3.890000,3.910000,3.980000,3.900000,3.910000,3.900000,3.910000
1751196028.707800,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.719100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.730400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.749100,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.760400,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
1751196028.771700,3.890000,3.890000,3.910000,3.980000,3.900000,3.920000,3.900000,3.910000
