t,sensor_imu_gps_status,sensor_imu_gps_longitude,sensor_imu_gps_latitude
1751195611.807200,0.000000,0.000000,0.000000
1751195611.857250,0.000000,0.000000,0.000000
1751195611.907250,0.000000,0.000000,0.000000
1751195611.957200,0.000000,0.000000,0.000000
1751195612.007250,0.000000,0.000000,0.000000
1751195612.057200,0.000000,0.000000,0.000000
1751195612.107250,0.000000,0.000000,0.000000
1751195612.157250,0.000000,0.000000,0.000000
1751195612.207250,0.000000,0.000000,0.000000
1751195612.257250,0.000000,0.000000,0.000000
1751195612.307250,0.000000,0.000000,0.000000
1751195612.357250,0.000000,0.000000,0.000000
1751195612.407250,0.000000,0.000000,0.000000
1751195612.457250,0.000000,0.000000,0.000000
1751195612.507250,0.000000,0.000000,0.000000
1751195612.557250,0.000000,0.000000,0.000000
1751195612.607250,0.000000,0.000000,0.000000
1751195612.657250,0.000000,0.000000,0.000000
1751195612.707250,0.000000,0.000000,0.000000
1751195612.757250,0.000000,0.000000,0.000000
1751195612.807250,0.000000,0.000000,0.000000
1751195612.857250,0.000000,0.000000,0.000000
1751195612.907250,0.000000,0.000000,0.000000
1751195612.957250,0.000000,0.000000,0.000000
1751195613.007250,0.000000,0.000000,0.000000
1751195613.057250,0.000000,0.000000,0.000000
1751195613.107250,0.000000,0.000000,0.000000
1751195613.157250,0.000000,0.000000,0.000000
1751195613.207250,0.000000,0.000000,0.000000
1751195613.257250,0.000000,0.000000,0.000000
1751195613.307250,0.000000,0.000000,0.000000
1751195613.357250,0.000000,0.000000,0.000000
1751195613.407250,0.000000,0.000000,0.000000
1751195613.457250,0.000000,0.000000,0.000000
1751195613.507250,0.000000,0.000000,0.000000
1751195613.557250,0.000000,0.000000,0.000000
1751195613.607250,0.000000,0.000000,0.000000
1751195613.657250,0.000000,0.000000,0.000000
1751195613.707300,0.000000,0.000000,0.000000
1751195613.807250,0.000000,0.000000,0.000000
1751195613.857250,0.000000,0.000000,0.000000
1751195613.907250,0.000000,0.000000,0.000000
1751195613.957300,0.000000,0.000000,0.000000
1751195614.057300,0.000000,0.000000,0.000000
1751195614.107250,0.000000,0.000000,0.000000
1751195614.207300,0.000000,0.000000,0.000000
1751195614.257250,0.000000,0.000000,0.000000
1751195614.307300,0.000000,0.000000,0.000000
1751195614.357250,0.000000,0.000000,0.000000
1751195614.507250,0.000000,0.000000,0.000000
1751195614.557300,0.000000,0.000000,0.000000
1751195614.607250,0.000000,0.000000,0.000000
1751195614.657300,0.000000,0.000000,0.000000
1751195614.707300,0.000000,0.000000,0.000000
1751195614.757300,0.000000,0.000000,0.000000
1751195614.807300,0.000000,0.000000,0.000000
1751195614.957300,0.000000,0.000000,0.000000
1751195615.007300,0.000000,0.000000,0.000000
1751195615.107300,0.000000,0.000000,0.000000
1751195615.157300,0.000000,0.000000,0.000000
1751195615.207300,0.000000,0.000000,0.000000
1751195615.257300,0.000000,0.000000,0.000000
1751195615.307300,0.000000,0.000000,0.000000
1751195615.357300,0.000000,0.000000,0.000000
1751195615.407300,0.000000,0.000000,0.000000
1751195615.507300,0.000000,0.000000,0.000000
1751195615.557300,0.000000,0.000000,0.000000
1751195615.607300,0.000000,0.000000,0.000000
1751195615.657300,0.000000,0.000000,0.000000
1751195615.757300,0.000000,0.000000,0.000000
1751195615.807300,0.000000,0.000000,0.000000
1751195615.857300,0.000000,0.000000,0.000000
1751195615.907300,0.000000,0.000000,0.000000
1751195615.957300,0.000000,0.000000,0.000000
1751195616.007300,0.000000,0.000000,0.000000
1751195616.157300,0.000000,0.000000,0.000000
1751195616.207300,0.000000,0.000000,0.000000
1751195616.257300,0.000000,0.000000,0.000000
1751195616.307300,0.000000,0.000000,0.000000
1751195616.357300,0.000000,0.000000,0.000000
1751195616.407300,0.000000,0.000000,0.000000
1751195616.457300,0.000000,0.000000,0.000000
1751195616.507300,0.000000,0.000000,0.000000
1751195616.557300,0.000000,0.000000,0.000000
1751195616.607350,0.000000,0.000000,0.000000
1751195616.657300,0.000000,0.000000,0.000000
1751195616.707300,0.000000,0.000000,0.000000
1751195616.757300,0.000000,0.000000,0.000000
1751195616.807300,0.000000,0.000000,0.000000
1751195616.857350,0.000000,0.000000,0.000000
1751195616.907300,0.000000,0.000000,0.000000
1751195616.957300,0.000000,0.000000,0.000000
1751195617.007300,0.000000,0.000000,0.000000
1751195617.057300,0.000000,0.000000,0.000000
1751195617.107350,0.000000,0.000000,0.000000
1751195617.157300,0.000000,0.000000,0.000000
1751195617.207350,0.000000,0.000000,0.000000
1751195617.307350,0.000000,0.000000,0.000000
1751195617.407300,0.000000,0.000000,0.000000
1751195617.457350,0.000000,0.000000,0.000000
1751195617.507300,0.000000,0.000000,0.000000
1751195617.557350,0.000000,0.000000,0.000000
1751195617.607350,0.000000,0.000000,0.000000
1751195617.657350,0.000000,0.000000,0.000000
1751195617.707350,0.000000,0.000000,0.000000
1751195617.757300,0.000000,0.000000,0.000000
1751195617.807350,0.000000,0.000000,0.000000
1751195617.857350,0.000000,0.000000,0.000000
1751195617.907350,0.000000,0.000000,0.000000
1751195617.957350,0.000000,0.000000,0.000000
1751195618.007350,0.000000,0.000000,0.000000
1751195618.057350,0.000000,0.000000,0.000000
1751195618.107350,0.000000,0.000000,0.000000
1751195618.157350,0.000000,0.000000,0.000000
1751195618.207350,0.000000,0.000000,0.000000
1751195618.257350,0.000000,0.000000,0.000000
1751195618.307350,0.000000,0.000000,0.000000
1751195618.357350,0.000000,0.000000,0.000000
1751195618.407350,0.000000,0.000000,0.000000
1751195618.457350,0.000000,0.000000,0.000000
1751195618.557350,0.000000,0.000000,0.000000
1751195618.607350,0.000000,0.000000,0.000000
1751195618.657350,0.000000,0.000000,0.000000
1751195618.707350,0.000000,0.000000,0.000000
1751195618.757350,0.000000,0.000000,0.000000
1751195618.807350,0.000000,0.000000,0.000000
1751195618.857350,0.000000,0.000000,0.000000
1751195618.957350,0.000000,0.000000,0.000000
1751195619.007350,0.000000,0.000000,0.000000
1751195619.057350,0.000000,0.000000,0.000000
1751195619.107350,0.000000,0.000000,0.000000
1751195619.157350,0.000000,0.000000,0.000000
1751195619.207350,0.000000,0.000000,0.000000
1751195619.257350,0.000000,0.000000,0.000000
1751195619.307350,0.000000,0.000000,0.000000
1751195619.357350,0.000000,0.000000,0.000000
1751195619.407400,0.000000,0.000000,0.000000
1751195619.457350,0.000000,0.000000,0.000000
1751195619.507350,0.000000,0.000000,0.000000
1751195619.557350,0.000000,0.000000,0.000000
1751195619.607350,0.000000,0.000000,0.000000
1751195619.657400,0.000000,0.000000,0.000000
1751195619.707350,0.000000,0.000000,0.000000
1751195619.757400,0.000000,0.000000,0.000000
1751195619.807350,0.000000,0.000000,0.000000
1751195619.857350,0.000000,0.000000,0.000000
1751195619.907400,0.000000,0.000000,0.000000
1751195619.957350,0.000000,0.000000,0.000000
1751195620.007400,0.000000,0.000000,0.000000
1751195620.057350,0.000000,0.000000,0.000000
1751195620.157400,0.000000,0.000000,0.000000
1751195620.207350,0.000000,0.000000,0.000000
1751195620.257400,0.000000,0.000000,0.000000
1751195620.307350,0.000000,0.000000,0.000000
1751195620.357400,0.000000,0.000000,0.000000
1751195620.407400,0.000000,0.000000,0.000000
1751195620.457400,0.000000,0.000000,0.000000
1751195620.507400,0.000000,0.000000,0.000000
1751195620.557400,0.000000,0.000000,0.000000
1751195620.607400,0.000000,0.000000,0.000000
1751195620.657400,0.000000,0.000000,0.000000
1751195620.707400,0.000000,0.000000,0.000000
1751195620.757400,0.000000,0.000000,0.000000
1751195620.807400,0.000000,0.000000,0.000000
1751195620.857400,0.000000,0.000000,0.000000
1751195620.957400,0.000000,0.000000,0.000000
1751195621.007400,0.000000,0.000000,0.000000
1751195621.057400,0.000000,0.000000,0.000000
1751195621.107400,0.000000,0.000000,0.000000
1751195621.157400,0.000000,0.000000,0.000000
1751195621.257400,0.000000,0.000000,0.000000
1751195621.307400,0.000000,0.000000,0.000000
1751195621.357400,0.000000,0.000000,0.000000
1751195621.407400,0.000000,0.000000,0.000000
1751195621.457400,0.000000,0.000000,0.000000
1751195621.507400,0.000000,0.000000,0.000000
1751195621.557400,0.000000,0.000000,0.000000
1751195621.607400,0.000000,0.000000,0.000000
1751195621.657400,0.000000,0.000000,0.000000
1751195621.707400,0.000000,0.000000,0.000000
1751195621.757400,0.000000,0.000000,0.000000
1751195621.857400,0.000000,0.000000,0.000000
1751195621.957450,0.000000,0.000000,0.000000
1751195622.007400,0.000000,0.000000,0.000000
1751195622.057400,0.000000,0.000000,0.000000
1751195622.107400,0.000000,0.000000,0.000000
1751195622.157400,0.000000,0.000000,0.000000
1751195622.257400,0.000000,0.000000,0.000000
1751195622.307450,0.000000,0.000000,0.000000
1751195622.407400,0.000000,0.000000,0.000000
1751195622.457450,0.000000,0.000000,0.000000
1751195622.507400,0.000000,0.000000,0.000000
1751195622.557450,0.000000,0.000000,0.000000
1751195622.607400,0.000000,0.000000,0.000000
1751195622.707450,0.000000,0.000000,0.000000
1751195622.757450,0.000000,0.000000,0.000000
1751195622.857400,0.000000,0.000000,0.000000
1751195622.907450,0.000000,0.000000,0.000000
1751195622.957450,0.000000,0.000000,0.000000
1751195623.007450,0.000000,0.000000,0.000000
1751195623.107400,0.000000,0.000000,0.000000
1751195623.157450,0.000000,0.000000,0.000000
1751195623.207450,0.000000,0.000000,0.000000
1751195623.307450,0.000000,0.000000,0.000000
1751195623.407450,0.000000,0.000000,0.000000
1751195623.457450,0.000000,0.000000,0.000000
1751195623.507450,0.000000,0.000000,0.000000
1751195623.557450,0.000000,0.000000,0.000000
1751195623.607450,0.000000,0.000000,0.000000
1751195623.657450,0.000000,0.000000,0.000000
1751195623.757450,0.000000,0.000000,0.000000
1751195623.807450,0.000000,0.000000,0.000000
1751195623.857450,0.000000,0.000000,0.000000
1751195623.907450,0.000000,0.000000,0.000000
1751195623.957450,0.000000,0.000000,0.000000
1751195624.007450,0.000000,0.000000,0.000000
1751195624.057450,0.000000,0.000000,0.000000
1751195624.107450,0.000000,0.000000,0.000000
1751195624.207450,0.000000,0.000000,0.000000
1751195624.257500,0.000000,0.000000,0.000000
1751195624.307450,0.000000,0.000000,0.000000
1751195624.357450,0.000000,0.000000,0.000000
1751195624.407450,0.000000,0.000000,0.000000
1751195624.457450,0.000000,0.000000,0.000000
1751195624.507450,0.000000,0.000000,0.000000
1751195624.557450,0.000000,0.000000,0.000000
1751195624.657450,0.000000,0.000000,0.000000
1751195624.707450,0.000000,0.000000,0.000000
1751195624.807450,0.000000,0.000000,0.000000
1751195624.857450,0.000000,0.000000,0.000000
1751195624.907450,0.000000,0.000000,0.000000
1751195624.957450,0.000000,0.000000,0.000000
1751195625.007500,0.000000,0.000000,0.000000
1751195625.107500,0.000000,0.000000,0.000000
1751195625.157450,0.000000,0.000000,0.000000
1751195625.207500,0.000000,0.000000,0.000000
1751195625.307500,0.000000,0.000000,0.000000
1751195625.357500,0.000000,0.000000,0.000000
1751195625.407450,0.000000,0.000000,0.000000
1751195625.457500,0.000000,0.000000,0.000000
1751195625.507500,0.000000,0.000000,0.000000
1751195625.557500,0.000000,0.000000,0.000000
1751195625.607500,0.000000,0.000000,0.000000
1751195625.707500,0.000000,0.000000,0.000000
1751195625.857500,0.000000,0.000000,0.000000
1751195625.907450,0.000000,0.000000,0.000000
1751195625.957500,0.000000,0.000000,0.000000
1751195626.007500,0.000000,0.000000,0.000000
1751195626.057500,0.000000,0.000000,0.000000
1751195626.157500,0.000000,0.000000,0.000000
1751195626.207500,0.000000,0.000000,0.000000
1751195626.257500,0.000000,0.000000,0.000000
1751195626.307500,0.000000,0.000000,0.000000
1751195626.357500,0.000000,0.000000,0.000000
1751195626.457500,0.000000,0.000000,0.000000
1751195626.507500,0.000000,0.000000,0.000000
1751195626.607500,0.000000,0.000000,0.000000
1751195626.657500,0.000000,0.000000,0.000000
1751195626.707500,0.000000,0.000000,0.000000
1751195626.757500,0.000000,0.000000,0.000000
1751195626.857500,0.000000,0.000000,0.000000
1751195626.907500,0.000000,0.000000,0.000000
1751195627.057500,0.000000,0.000000,0.000000
1751195627.107500,0.000000,0.000000,0.000000
1751195627.157500,0.000000,0.000000,0.000000
1751195627.207500,0.000000,0.000000,0.000000
1751195627.257500,0.000000,0.000000,0.000000
1751195627.307550,0.000000,0.000000,0.000000
1751195627.357500,0.000000,0.000000,0.000000
1751195627.407550,0.000000,0.000000,0.000000
