t,PDU_5V_current,PDU_12V_current,PDU_CH9_current,PDU_CH12_current,PDU_CH11_current,PDU_CH10_current
1751195600.503150,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195600.603200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195600.653200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.703200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.753150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.803200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.853200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.903200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195600.953150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.003150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.053150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.103200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.153200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.203150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.253200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.303150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.353200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.403150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.453200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.503150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.553200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.603200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.653150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.703200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195601.753150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.803200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.853200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.903200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195601.953200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.003150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.053200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.103200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.153200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.203200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.253250,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.303200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.353200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195602.403250,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.453200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195602.503250,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.553200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.603250,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.653200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.703250,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195602.753200,0.000000,0.000000,0.000000,0.000000,1.160000,0.120000
1751195602.803150,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.853250,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.903200,0.000000,0.000000,0.000000,0.000000,1.160000,0.080000
1751195602.953250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.003250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195603.053250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.103250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195603.153200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.203250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.253200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.303250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.353200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.403250,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195603.453250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.503200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.553250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.603200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.653250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.703200,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195603.753250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.803200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.853200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.903250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195603.953200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.003250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.053200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.103200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.153250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.203200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.253250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.303250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.353200,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.403250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.453200,0.000000,0.000000,0.000000,0.000000,1.200000,0.120000
1751195604.503250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
1751195604.553250,0.000000,0.000000,0.000000,0.000000,1.200000,0.080000
