t,ams_temp_min_8,ams_temp_min_7,ams_temp_min_6,ams_temp_min_5,ams_temp_min_4,ams_temp_min_3,ams_temp_min_2,ams_temp_min_1
1751196018.584550,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.637150,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.678350,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.730800,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.783400,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.835950,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.877250,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.929600,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196018.982100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.034650,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.087200,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.128350,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.180800,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.233300,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.285850,33.000000,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.327150,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.379500,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.431950,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.484550,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.537100,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196019.578300,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.630750,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.683300,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.735850,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.777150,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000
1751196019.829550,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.882000,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.934550,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196019.987100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.028300,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.080750,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.133350,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.185900,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.227200,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.279600,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.332050,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.384600,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.437200,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.478350,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196020.530850,32.500000,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.583450,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.636000,33.000000,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.677300,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.729650,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.782100,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000
1751196020.834700,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.887250,33.000000,32.500000,32.000000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.928300,32.500000,32.500000,33.000000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196020.980800,33.000000,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.033300,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.085900,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.127150,33.000000,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.179550,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.232050,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.284600,33.000000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000,32.000000
1751196021.337150,32.500000,32.500000,32.500000,32.000000,32.500000,32.500000,32.000000,32.000000
1751196021.378350,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.430800,32.500000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
1751196021.483300,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,31.500000
1751196021.535900,33.000000,32.500000,32.500000,32.500000,32.500000,32.500000,32.000000,32.000000
