t,ams_voltage_min_9
1751195531.192900,2.850000
1751195531.204200,2.870000
1751195531.215500,2.870000
1751195531.234200,2.870000
1751195531.245450,2.880000
1751195531.256750,2.890000
1751195531.268050,2.860000
1751195531.286650,2.870000
1751195531.297950,2.860000
1751195531.309200,2.860000
1751195531.320500,2.870000
1751195531.339150,2.880000
1751195531.350450,2.890000
1751195531.361700,2.870000
1751195531.373000,2.880000
1751195531.391700,2.860000
1751195531.403000,2.870000
1751195531.414300,2.870000
1751195531.432900,2.870000
1751195531.444200,2.870000
1751195531.455450,2.880000
1751195531.466750,2.870000
1751195531.485400,2.870000
1751195531.496650,2.870000
1751195531.507950,2.860000
1751195531.519200,2.870000
1751195531.537850,2.860000
1751195531.549100,2.860000
1751195531.560400,2.870000
1751195531.571650,2.870000
1751195531.590400,2.850000
1751195531.601700,2.860000
1751195531.613000,2.880000
1751195531.624250,2.900000
1751195531.642900,2.860000
1751195531.654150,2.860000
1751195531.665450,2.870000
1751195531.684150,2.890000
1751195531.695450,2.900000
1751195531.706750,2.890000
1751195531.718000,2.870000
1751195531.736650,2.880000
1751195531.747900,2.870000
1751195531.759200,2.880000
1751195531.770500,2.900000
1751195531.789100,2.900000
1751195531.800400,2.880000
1751195531.811700,2.880000
1751195531.822950,2.880000
1751195531.841650,2.870000
1751195531.853000,2.880000
1751195531.864250,2.880000
1751195531.882850,2.880000
1751195531.894150,2.870000
1751195531.905450,2.880000
1751195531.916700,2.880000
1751195531.935350,2.890000
1751195531.946600,2.870000
1751195531.957900,2.880000
1751195531.969200,2.870000
1751195531.987850,2.880000
1751195531.999100,2.890000
1751195532.010400,2.880000
1751195532.021650,2.880000
1751195532.040400,2.870000
1751195532.051700,2.870000
1751195532.062950,2.880000
1751195532.074250,2.890000
1751195532.092900,2.870000
1751195532.104150,2.880000
1751195532.115450,2.880000
1751195532.134200,2.890000
1751195532.145450,2.910000
1751195532.156750,2.880000
1751195532.168000,2.890000
1751195532.186650,2.880000
1751195532.197950,2.890000
1751195532.209200,2.900000
1751195532.220500,2.900000
1751195532.239150,2.890000
1751195532.250400,2.890000
1751195532.261700,2.890000
1751195532.273000,2.870000
1751195532.291700,2.890000
1751195532.303000,2.890000
1751195532.314250,2.890000
1751195532.332900,2.890000
1751195532.344200,2.880000
1751195532.355450,2.870000
1751195532.366700,2.890000
1751195532.385350,2.900000
1751195532.396650,2.890000
1751195532.407950,2.900000
1751195532.419200,2.890000
1751195532.437850,2.890000
1751195532.449100,2.880000
1751195532.460400,2.890000
1751195532.471700,2.880000
1751195532.490400,2.890000
1751195532.501700,2.880000
1751195532.512950,2.890000
1751195532.524250,2.810000
1751195532.542900,2.880000
1751195532.554150,2.890000
1751195532.565400,2.880000
1751195532.584150,2.900000
1751195532.595450,2.890000
1751195532.606700,2.880000
1751195532.618000,2.880000
1751195532.636650,2.880000
1751195532.647900,2.880000
1751195532.659200,2.850000
1751195532.670450,2.890000
1751195532.689100,2.880000
1751195532.700400,2.880000
1751195532.711650,2.890000
1751195532.722950,2.900000
1751195532.741650,2.900000
1751195532.752950,2.900000
1751195532.764200,2.880000
1751195532.782850,2.880000
1751195532.794150,2.880000
1751195532.805400,2.890000
1751195532.816700,2.890000
1751195532.835350,2.910000
1751195532.846600,2.890000
1751195532.857900,2.890000
1751195532.869150,2.890000
1751195532.887800,2.890000
1751195532.899100,2.910000
1751195532.910400,2.900000
1751195532.921650,2.900000
1751195532.940400,4.030000
1751195532.951700,2.890000
1751195532.962950,2.880000
1751195532.974250,2.910000
1751195532.992900,2.910000
1751195533.004150,3.020000
1751195533.015450,2.890000
1751195533.034200,2.900000
1751195533.045450,2.910000
1751195533.056750,2.860000
1751195533.068000,2.910000
1751195533.086600,2.890000
1751195533.097900,2.850000
1751195533.109200,2.880000
1751195533.120500,2.880000
1751195533.139100,2.870000
1751195533.150350,2.890000
1751195533.161650,2.880000
1751195533.172950,2.880000
1751195533.191700,2.870000
1751195533.202950,2.890000
1751195533.214250,2.880000
1751195533.232900,2.540000
1751195533.244150,2.890000
1751195533.255450,2.900000
1751195533.266700,2.890000
1751195533.285350,2.880000
1751195533.296650,2.890000
1751195533.307900,2.890000
1751195533.319200,2.880000
1751195533.337800,2.900000
1751195533.349100,2.900000
1751195533.360400,2.900000
1751195533.371650,2.880000
1751195533.390400,2.880000
1751195533.401650,2.890000
1751195533.412950,2.900000
1751195533.424200,2.880000
1751195533.442850,2.880000
1751195533.454150,2.890000
1751195533.465400,2.890000
1751195533.484150,2.900000
1751195533.495400,2.880000
1751195533.506700,2.890000
1751195533.517950,2.890000
1751195533.536600,2.890000
1751195533.547900,2.900000
1751195533.559150,2.890000
1751195533.570450,2.890000
1751195533.589100,4.780000
1751195533.600350,2.910000
1751195533.611650,2.890000
1751195533.622900,2.890000
1751195533.641650,2.890000
1751195533.652900,2.850000
1751195533.664200,2.880000
1751195533.682850,2.890000
1751195533.694100,2.890000
1751195533.705400,2.760000
1751195533.716650,2.890000
1751195533.735300,2.880000
1751195533.746600,2.940000
1751195533.757850,2.890000
1751195533.769150,2.810000
1751195533.787800,3.120000
1751195533.799050,2.880000
1751195533.810350,2.880000
1751195533.821600,2.900000
1751195533.840350,2.860000
1751195533.851600,3.520000
1751195533.862900,2.890000
1751195533.874200,2.880000
1751195533.892800,2.890000
1751195533.904100,2.890000
1751195533.915350,2.880000
1751195533.934100,2.880000
1751195533.945350,2.880000
1751195533.956650,2.870000
1751195533.967950,2.910000
1751195533.986550,2.900000
1751195533.997850,2.900000
1751195534.009100,2.890000
1751195534.020400,2.880000
1751195534.039050,2.900000
1751195534.050300,2.880000
1751195534.061600,2.900000
1751195534.072900,2.880000
1751195534.091600,2.880000
1751195534.102850,2.890000
1751195534.114150,2.840000
1751195534.132800,2.870000
1751195534.144050,2.870000
1751195534.155350,2.880000
1751195534.166650,2.890000
1751195534.185250,2.890000
1751195534.196550,2.890000
1751195534.207800,2.890000
1751195534.219100,2.880000
1751195534.237750,2.890000
1751195534.249050,2.880000
1751195534.260300,2.880000
1751195534.271600,2.910000
1751195534.290300,2.890000
1751195534.301600,2.900000
1751195534.312900,2.890000
1751195534.324150,2.890000
1751195534.342800,2.740000
1751195534.354050,2.890000
1751195534.365350,2.890000
1751195534.384100,2.890000
1751195534.395400,2.900000
1751195534.406650,2.890000
1751195534.417900,2.890000
1751195534.436550,2.620000
1751195534.447850,2.890000
1751195534.459100,2.890000
1751195534.470400,2.890000
1751195534.489050,2.870000
1751195534.500350,4.110000
1751195534.511600,2.900000
1751195534.522900,2.870000
1751195534.541600,2.890000
1751195534.552900,2.900000
1751195534.564200,2.900000
1751195534.582800,2.890000
1751195534.594050,2.890000
1751195534.605350,2.880000
1751195534.616650,2.810000
1751195534.635250,2.890000
1751195534.646550,2.890000
1751195534.657800,2.880000
1751195534.669100,2.890000
1751195534.687750,2.910000
1751195534.699000,2.900000
1751195534.710300,2.900000
1751195534.721550,2.910000
1751195534.740300,2.880000
1751195534.751600,2.890000
1751195534.762850,2.910000
1751195534.774150,2.900000
1751195534.792800,2.880000
1751195534.804050,2.880000
1751195534.815350,2.900000
1751195534.834100,3.080000
1751195534.845350,2.890000
1751195534.856650,2.890000
1751195534.867900,2.880000
1751195534.886550,2.940000
1751195534.897850,2.840000
1751195534.909100,2.900000
1751195534.920400,2.900000
1751195534.939050,2.900000
1751195534.950300,2.910000
1751195534.961600,2.950000
1751195534.972850,2.910000
1751195534.991600,2.890000
1751195535.002850,2.910000
1751195535.014150,2.920000
1751195535.032800,2.890000
1751195535.044100,2.910000
1751195535.055350,2.900000
1751195535.066650,2.900000
1751195535.085300,2.900000
1751195535.096600,2.900000
1751195535.107850,2.910000
1751195535.119100,2.910000
1751195535.137750,2.900000
1751195535.149050,2.910000
1751195535.160350,2.900000
1751195535.171600,2.900000
1751195535.190350,2.890000
1751195535.201650,2.890000
1751195535.212900,2.900000
1751195535.224200,2.910000
1751195535.242800,2.900000
1751195535.254100,2.850000
1751195535.265400,2.910000
1751195535.284100,2.920000
1751195535.295400,2.880000
1751195535.306650,2.910000
1751195535.317950,2.890000
1751195535.336600,2.900000
1751195535.347850,2.880000
1751195535.359150,2.900000
1751195535.389150,2.880000
1751195535.411700,2.880000
1751195535.423000,2.910000
1751195535.441700,2.910000
1751195535.453050,2.880000
1751195535.464300,2.900000
