t,ModelConfig_MissionSelect,ModelConfig_TVMaster,ModelConfig_TractionControl,ModelConfig_ThrottleShaping,ModelConfig_MotorMapping,ModelConfig_MidCornerSetting,ModelConfig_CornerExitSetting,ModelConfig_CornerEntrySetting
1751195742.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.850750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.900750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195742.950750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.000750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.100750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.150750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.250750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.300700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.350750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.400750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.500750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.600750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.650750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.700700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.750750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.850700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.900750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195743.950700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.000750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.100700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.150750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.250700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.300700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.350700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.400750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.500700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.600700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.650750,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.700700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.750700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.850700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.900700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195744.950700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.000700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.100700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.150700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.250700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.300700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.350700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.400700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.500700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.600700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.650700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.700700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.750700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.850700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.900700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195745.950700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.000700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.100700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.150700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.250700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.300700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.350700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.400700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.500700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.600700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.650700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.700700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.750700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.850700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.900700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195746.950700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.000700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.100700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.150700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.250700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.300700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.350700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.400700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.500650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.550700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.600700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.650700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.700700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.750650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.800700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.850700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.900700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195747.950700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.000650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.050700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.100700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.150650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.200700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.250650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.300650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.350700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.400650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.450700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.500650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.550650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.600700,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
1751195748.650650,0.000000,0.000000,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
