t,ams_shunt_voltage,ams_shunt_current,ams_shunt_amp_seconds
1751195545.564650,564.340000,29.240000,12800.000000
1751195545.617150,564.340000,29.730000,12800.000000
1751195545.669700,563.920000,29.540000,12800.000000
1751195545.722000,563.920000,29.570000,12800.000000
1751195545.774650,563.640000,30.390000,12800.000000
1751195545.815850,563.310000,30.580000,12800.000000
1751195545.868350,563.390000,30.200000,12800.000000
1751195545.920850,562.780000,31.810000,12800.000000
1751195545.973250,562.780000,31.300000,12800.000000
1751195546.025800,562.740000,31.600000,12800.000000
1751195546.067000,562.540000,32.220000,12800.000000
1751195546.119550,562.240000,32.510000,12800.000000
1751195546.172000,562.020000,32.550000,12800.000000
1751195546.224600,561.240000,35.180000,12800.000000
1751195546.265800,561.240000,34.620000,12800.000000
1751195546.318250,561.050000,33.590000,12800.000000
1751195546.370800,561.330000,34.680000,12800.000000
1751195546.423350,560.810000,34.650000,12800.000000
1751195546.464650,560.810000,35.100000,12800.000000
1751195546.517150,560.430000,35.620000,12800.000000
1751195546.569600,560.430000,35.430000,12800.000000
1751195546.622100,560.270000,36.360000,12800.000000
1751195546.674700,559.990000,36.890000,12800.000000
1751195546.715900,559.690000,35.780000,12800.000000
1751195546.768350,560.500000,33.570000,12800.000000
1751195546.820850,562.420000,28.200000,12800.000000
1751195546.873250,562.420000,11.880000,12800.000000
1751195546.925800,568.210000,1.110000,12800.000000
1751195546.967000,574.490000,1.260000,12800.000000
1751195547.019550,574.950000,1.320000,12800.000000
1751195547.072000,575.110000,1.320000,12800.000000
1751195547.124550,575.180000,1.360000,12800.000000
1751195547.165750,575.180000,1.440000,12800.000000
1751195547.218250,575.240000,1.360000,12800.000000
1751195547.270800,575.360000,1.360000,12800.000000
1751195547.323350,575.440000,1.440000,12800.000000
1751195547.364700,575.510000,1.360000,12800.000000
1751195547.417200,575.570000,1.380000,12800.000000
1751195547.469600,575.570000,1.350000,12800.000000
1751195547.522100,575.630000,1.260000,12800.000000
1751195547.574700,575.730000,1.310000,12800.000000
1751195547.615900,575.740000,1.320000,12800.000000
1751195547.668350,575.830000,1.310000,12800.000000
1751195547.720850,575.810000,1.270000,12800.000000
1751195547.773400,575.810000,1.290000,12800.000000
1751195547.814750,575.850000,1.280000,12800.000000
