t,Vehicle_State,shutdown_reason
1751195960.319650,4.000000,0.000000
1751195960.329700,4.000000,0.000000
1751195960.339600,4.000000,0.000000
1751195960.349650,4.000000,0.000000
1751195960.359800,4.000000,0.000000
1751195960.369600,4.000000,0.000000
1751195960.379650,4.000000,0.000000
1751195960.389600,4.000000,0.000000
1751195960.399650,4.000000,0.000000
1751195960.409650,4.000000,0.000000
1751195960.419600,4.000000,0.000000
1751195960.429650,4.000000,0.000000
1751195960.439600,4.000000,0.000000
1751195960.449600,4.000000,0.000000
1751195960.459600,4.000000,0.000000
1751195960.469850,4.000000,0.000000
1751195960.479650,4.000000,0.000000
1751195960.489650,4.000000,0.000000
1751195960.499900,4.000000,0.000000
1751195960.509800,4.000000,0.000000
1751195960.519600,4.000000,0.000000
1751195960.529650,4.000000,0.000000
1751195960.539600,4.000000,0.000000
1751195960.549650,4.000000,0.000000
1751195960.559650,4.000000,0.000000
1751195960.569600,4.000000,0.000000
1751195960.579600,4.000000,0.000000
1751195960.589600,4.000000,0.000000
1751195960.599600,4.000000,0.000000
1751195960.609600,4.000000,0.000000
1751195960.619650,4.000000,0.000000
1751195960.629650,4.000000,0.000000
1751195960.639600,4.000000,0.000000
1751195960.649650,4.000000,0.000000
1751195960.659600,4.000000,0.000000
1751195960.669850,4.000000,0.000000
1751195960.679600,4.000000,0.000000
1751195960.689650,4.000000,0.000000
1751195960.699700,4.000000,0.000000
1751195960.709650,4.000000,0.000000
1751195960.719650,4.000000,0.000000
1751195960.729600,4.000000,0.000000
1751195960.739600,4.000000,0.000000
1751195960.749650,4.000000,0.000000
1751195960.759800,4.000000,0.000000
1751195960.769600,4.000000,0.000000
1751195960.779650,4.000000,0.000000
1751195960.789600,4.000000,0.000000
1751195960.799600,4.000000,0.000000
1751195960.809550,4.000000,0.000000
1751195960.819600,4.000000,0.000000
1751195960.829600,4.000000,0.000000
1751195960.839600,4.000000,0.000000
1751195960.849600,4.000000,0.000000
1751195960.859600,4.000000,0.000000
1751195960.869850,4.000000,0.000000
1751195960.879650,4.000000,0.000000
1751195960.889600,4.000000,0.000000
1751195960.899600,4.000000,0.000000
1751195960.909600,4.000000,0.000000
1751195960.919600,4.000000,0.000000
1751195960.929650,4.000000,0.000000
1751195960.939600,4.000000,0.000000
1751195960.949600,4.000000,0.000000
1751195960.959600,4.000000,0.000000
1751195960.969600,4.000000,0.000000
1751195960.979650,4.000000,0.000000
1751195960.989600,4.000000,0.000000
1751195960.999600,4.000000,0.000000
1751195961.009600,4.000000,0.000000
1751195961.019600,4.000000,0.000000
1751195961.029650,4.000000,0.000000
1751195961.039600,4.000000,0.000000
1751195961.049600,4.000000,0.000000
1751195961.059600,4.000000,0.000000
1751195961.069850,4.000000,0.000000
