t,sensor_spring_travel_rr,sensor_spring_travel_rl,sensor_brake_temp_rr,sensor_brake_temp_rl
1751195797.410500,0.000000,0.000000,0.000000,0.000000
1751195797.460400,0.000000,0.000000,0.000000,0.000000
1751195797.510450,0.000000,0.000000,0.000000,0.000000
1751195797.560550,0.000000,0.000000,0.000000,0.000000
1751195797.610550,0.000000,0.000000,0.000000,0.000000
1751195797.660400,0.000000,0.000000,0.000000,0.000000
1751195797.860550,0.000000,0.000000,0.000000,0.000000
1751195798.010550,0.000000,0.000000,0.000000,0.000000
1751195798.060350,0.000000,0.000000,0.000000,0.000000
1751195798.160450,0.000000,0.000000,0.000000,0.000000
1751195798.260500,0.000000,0.000000,0.000000,0.000000
1751195798.310500,0.000000,0.000000,0.000000,0.000000
1751195798.510400,0.000000,0.000000,0.000000,0.000000
1751195798.560500,0.000000,0.000000,0.000000,0.000000
1751195798.610350,0.000000,0.000000,0.000000,0.000000
1751195798.810400,0.000000,0.000000,0.000000,0.000000
1751195798.860500,0.000000,0.000000,0.000000,0.000000
1751195798.910350,0.000000,0.000000,0.000000,0.000000
1751195798.960450,0.000000,0.000000,0.000000,0.000000
1751195799.060350,0.000000,0.000000,0.000000,0.000000
1751195799.110500,0.000000,0.000000,0.000000,0.000000
1751195799.310500,0.000000,0.000000,0.000000,0.000000
1751195799.360450,0.000000,0.000000,0.000000,0.000000
1751195799.460400,0.000000,0.000000,0.000000,0.000000
1751195799.560400,0.000000,0.000000,0.000000,0.000000
1751195799.610400,0.000000,0.000000,0.000000,0.000000
1751195799.810400,0.000000,0.000000,0.000000,0.000000
1751195799.910450,0.000000,0.000000,0.000000,0.000000
1751195800.010400,0.000000,0.000000,0.000000,0.000000
1751195800.160400,0.000000,0.000000,0.000000,0.000000
1751195800.210500,0.000000,0.000000,0.000000,0.000000
1751195800.260450,0.000000,0.000000,0.000000,0.000000
1751195800.310500,0.000000,0.000000,0.000000,0.000000
1751195800.410450,0.000000,0.000000,0.000000,0.000000
1751195800.510450,0.000000,0.000000,0.000000,0.000000
1751195800.660450,0.000000,0.000000,0.000000,0.000000
1751195800.860450,0.000000,0.000000,0.000000,0.000000
1751195801.010450,0.000000,0.000000,0.000000,0.000000
1751195801.060450,0.000000,0.000000,0.000000,0.000000
1751195801.110450,0.000000,0.000000,0.000000,0.000000
1751195801.360450,0.000000,0.000000,0.000000,0.000000
1751195801.460400,0.000000,0.000000,0.000000,0.000000
1751195801.510450,0.000000,0.000000,0.000000,0.000000
1751195801.560450,0.000000,0.000000,0.000000,0.000000
1751195801.610400,0.000000,0.000000,0.000000,0.000000
1751195801.660450,0.000000,0.000000,0.000000,0.000000
1751195801.960400,0.000000,0.000000,0.000000,0.000000
1751195802.010450,0.000000,0.000000,0.000000,0.000000
1751195802.060400,0.000000,0.000000,0.000000,0.000000
1751195802.110400,0.000000,0.000000,0.000000,0.000000
1751195802.160450,0.000000,0.000000,0.000000,0.000000
1751195802.210400,0.000000,0.000000,0.000000,0.000000
1751195802.260600,0.000000,0.000000,0.000000,0.000000
1751195802.410450,0.000000,0.000000,0.000000,0.000000
1751195802.460550,0.000000,0.000000,0.000000,0.000000
1751195802.510600,0.000000,0.000000,0.000000,0.000000
1751195802.560600,0.000000,0.000000,0.000000,0.000000
1751195802.610450,0.000000,0.000000,0.000000,0.000000
1751195802.660600,0.000000,0.000000,0.000000,0.000000
1751195802.710450,0.000000,0.000000,0.000000,0.000000
1751195802.760450,0.000000,0.000000,0.000000,0.000000
1751195802.810600,0.000000,0.000000,0.000000,0.000000
1751195802.860450,0.000000,0.000000,0.000000,0.000000
1751195802.910450,0.000000,0.000000,0.000000,0.000000
1751195802.960450,0.000000,0.000000,0.000000,0.000000
1751195803.010600,0.000000,0.000000,0.000000,0.000000
1751195803.060450,0.000000,0.000000,0.000000,0.000000
1751195803.110650,0.000000,0.000000,0.000000,0.000000
1751195803.160600,0.000000,0.000000,0.000000,0.000000
1751195803.210450,0.000000,0.000000,0.000000,0.000000
1751195803.260600,0.000000,0.000000,0.000000,0.000000
1751195803.310600,0.000000,0.000000,0.000000,0.000000
1751195803.360600,0.000000,0.000000,0.000000,0.000000
1751195803.410450,0.000000,0.000000,0.000000,0.000000
1751195803.460600,0.000000,0.000000,0.000000,0.000000
1751195803.510450,0.000000,0.000000,0.000000,0.000000
1751195803.560600,0.000000,0.000000,0.000000,0.000000
1751195803.610450,0.000000,0.000000,0.000000,0.000000
1751195803.660600,0.000000,0.000000,0.000000,0.000000
1751195803.710550,0.000000,0.000000,0.000000,0.000000
1751195803.760450,0.000000,0.000000,0.000000,0.000000
1751195803.810450,0.000000,0.000000,0.000000,0.000000
1751195803.860600,0.000000,0.000000,0.000000,0.000000
1751195803.910450,0.000000,0.000000,0.000000,0.000000
1751195803.960500,0.000000,0.000000,0.000000,0.000000
1751195804.060450,0.000000,0.000000,0.000000,0.000000
