t,ams_temp_max_8,ams_temp_max_7,ams_temp_max_6,ams_temp_max_5,ams_temp_max_4,ams_temp_max_3,ams_temp_max_2,ams_temp_max_1
1751195680.832100,32.000000,-34.500000,32.000000,-39.500000,-35.000000,31.500000,31.500000,36.500000
1751195680.873600,32.000000,-34.000000,32.000000,-36.500000,-39.500000,31.500000,31.500000,36.500000
1751195680.926350,32.000000,-33.000000,32.000000,-37.500000,-35.000000,31.500000,31.500000,36.500000
1751195680.978950,32.000000,-33.500000,32.000000,-38.500000,-38.000000,31.500000,31.500000,36.500000
1751195681.031650,32.000000,-30.500000,32.000000,-39.000000,-35.000000,31.500000,31.500000,36.500000
1751195681.073000,32.500000,-33.500000,32.000000,-40.000000,-38.500000,31.500000,31.500000,36.500000
1751195681.125900,32.000000,-30.000000,32.000000,-38.500000,-36.500000,31.500000,31.500000,36.500000
1751195681.178450,32.000000,-31.000000,32.000000,-38.500000,-36.500000,31.500000,31.500000,36.500000
1751195681.231150,32.000000,-30.000000,32.000000,-39.000000,-37.500000,31.500000,31.500000,36.500000
1751195681.272600,32.000000,-33.500000,32.000000,-40.000000,-37.000000,31.500000,31.500000,36.500000
1751195681.325350,32.000000,-34.000000,32.000000,87.500000,-36.500000,31.500000,31.500000,36.500000
1751195681.378000,32.000000,-34.000000,32.000000,87.000000,-35.500000,31.500000,31.500000,36.500000
1751195681.430650,32.500000,-20.500000,32.000000,-39.500000,-37.500000,31.500000,31.500000,36.500000
1751195681.472050,32.000000,-34.000000,32.000000,87.500000,-35.000000,31.500000,31.500000,36.500000
1751195681.524850,32.000000,-30.500000,32.000000,-37.000000,-39.000000,31.500000,31.500000,36.500000
1751195681.577600,32.000000,-30.500000,32.000000,-40.000000,-35.500000,31.500000,31.500000,36.500000
1751195681.630250,32.000000,-33.500000,32.000000,-38.000000,-35.000000,31.500000,31.500000,36.500000
1751195681.682850,32.000000,-31.500000,32.000000,-39.500000,-37.000000,31.500000,31.500000,36.500000
1751195681.723950,32.000000,-32.500000,32.000000,-37.000000,-38.500000,31.500000,31.500000,36.500000
1751195681.776650,32.000000,-34.500000,32.000000,-40.000000,-35.000000,31.500000,31.500000,36.500000
1751195681.829150,32.000000,-31.500000,32.000000,-40.000000,-38.000000,31.500000,31.500000,36.500000
1751195681.881700,32.000000,-30.500000,32.000000,-38.500000,-35.000000,31.500000,31.500000,36.500000
1751195681.922950,32.000000,-32.000000,32.000000,-39.000000,-35.000000,31.500000,31.500000,36.500000
1751195681.975450,32.000000,-29.500000,32.000000,-38.000000,-37.500000,31.500000,31.500000,36.500000
1751195682.027750,32.500000,-30.500000,32.000000,87.500000,-38.500000,31.500000,31.500000,36.500000
