t,PDU_CH8_current,PDU_CH7_current,PDU_CH6_current,PDU_CH5_current,PDU_CH4_current,PDU_CH3_current,PDU_CH2_current,PDU_CH1_current
1751195836.357550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.407550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.457500,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.507550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.557550,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.607550,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.657550,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.707500,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.757550,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.807550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.857550,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.907550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195836.957550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.007550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.057550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.107550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.157550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.207550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.257600,1.840000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.307600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.357550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.407600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.457600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.507550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.557600,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.607550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.657550,1.800000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.707600,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195837.757550,1.760000,0.000000,0.120000,0.000000,0.120000,0.120000,0.120000,0.000000
