t,ams_reset,ams_stop_charging,ams_charging_request,ams_precharge_req,ams_balancing_req
1751195816.483600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.493350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.503350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.513350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.523600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.533350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.543350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.553350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.563300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.573600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.583350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.593350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.603400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.613600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.623300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.633350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.643350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.653300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.663350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.673350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.683400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.693350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.703350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.713350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.723400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.733350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.743350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.753350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.763350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.773400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.783350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.793350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.803400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.813350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.823350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.833400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.843350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.853350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.863350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.873300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.883400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.893350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.903350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.913350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.923550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.933350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.943350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.953350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.963350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.973550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.983350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195816.993350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.003550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.013350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.023300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.033550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.043350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.053350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.063300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.073350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.083600,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.093300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.103300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.113300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.123450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.133350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.143350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.153300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.163350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.173350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.183300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.193350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.203500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.213300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.223300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.233450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.243300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.253350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.263350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.273350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.283500,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.293350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.303350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.313300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.323550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.333300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.343300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.353350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.363350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.373550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.383300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.393350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.403650,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.413350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.423300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.433550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.443350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.453350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.463300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.473350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.483450,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.493350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.503350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.513350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.523350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.533300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.543350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.553350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.563300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.573400,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.583350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.593300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.603350,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.613550,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.623300,0.000000,0.000000,0.000000,1.000000,0.000000
1751195817.633350,0.000000,0.000000,0.000000,1.000000,0.000000
