t,sensor_imu_yawrate,sensor_imu_velocity,sensor_imu_accel_y,sensor_imu_accel_x
1751195714.109500,3.193350,0.000000,0.000000,0.000000
1751195714.159350,3.193350,0.000000,0.000000,0.000000
1751195714.259450,3.193350,0.000000,0.000000,0.000000
1751195714.359300,3.193350,0.000000,0.000000,0.000000
1751195714.409500,3.193350,0.000000,0.000000,5.904800
1751195714.509350,3.193350,0.000000,0.000000,0.000000
1751195714.559450,3.193350,0.000000,0.000000,0.000000
1751195714.609350,3.193350,0.000000,0.000000,0.000000
1751195714.659350,3.193350,0.000000,0.000000,0.000000
1751195714.709300,3.193350,0.000000,0.000000,0.000000
1751195714.759500,3.193350,0.000000,0.000000,0.000000
1751195714.809550,3.193350,0.000000,0.000000,-0.003050
1751195714.859550,3.193350,0.000000,0.000000,0.000000
1751195714.959350,3.193350,0.000000,0.000000,0.000000
1751195715.009350,3.193350,0.000000,0.000000,0.000000
1751195715.109400,3.193350,0.000000,0.000000,0.000000
1751195715.159350,3.193350,0.000000,0.000000,-0.003050
1751195715.259350,3.193350,0.000000,0.000000,-0.021350
1751195715.359500,3.193350,0.000000,0.000000,0.000000
1751195715.459350,3.184200,0.000000,0.000000,0.000000
1751195715.509500,3.184200,0.000000,0.000000,0.000000
1751195715.559400,3.184200,0.000000,0.000000,0.000000
1751195715.609400,3.184200,0.000000,0.000000,0.000000
1751195715.659350,3.184200,0.000000,0.000000,0.000000
1751195715.709550,3.184200,0.000000,0.000000,0.000000
1751195715.759400,0.000000,0.000000,0.000000,0.000000
1751195715.809400,0.000000,0.000000,0.000000,0.000000
1751195715.959450,0.000000,0.000000,0.000000,0.000000
1751195716.009400,0.000000,0.000000,0.000000,0.000000
1751195716.059400,0.000000,0.000000,0.000000,1.046150
1751195716.259400,2.845650,0.000000,0.000000,0.000000
1751195716.309400,0.000000,0.000000,0.000000,-0.003050
1751195716.459550,0.000000,0.000000,0.000000,0.000000
1751195716.509500,0.000000,0.000000,0.000000,0.000000
1751195716.659350,0.000000,0.000000,0.000000,68.957450
1751195716.709550,0.000000,0.000000,0.000000,68.957450
1751195716.759550,0.000000,119.929050,0.000000,0.000000
1751195716.809600,0.000000,119.929050,0.000000,0.000000
1751195716.909450,6.414150,0.000000,0.000000,3.196400
1751195716.959400,0.000000,0.000000,0.000000,0.000000
1751195717.009450,0.000000,119.929050,0.000000,0.000000
1751195717.059400,0.000000,0.000000,0.000000,0.000000
1751195717.109400,0.000000,0.000000,0.000000,0.000000
1751195717.159600,0.000000,0.000000,0.000000,0.000000
1751195717.259500,0.000000,0.195810,0.000000,-0.003050
1751195717.359450,0.000000,0.000000,0.000000,0.000000
1751195717.409400,0.000000,0.000000,0.000000,0.000000
1751195717.459400,0.000000,0.000000,0.000000,-0.942450
1751195717.559400,0.000000,0.000000,0.000000,2.979850
1751195717.609550,0.000000,0.000000,0.000000,2.979850
1751195717.709600,0.000000,119.929050,0.000000,0.000000
1751195717.759400,0.000000,119.929050,0.000000,0.000000
1751195717.809500,0.000000,119.929050,0.000000,0.000000
1751195717.909400,0.000000,0.000000,0.000000,7.649400
1751195717.959400,0.000000,0.000000,0.000000,7.649400
1751195718.009500,0.000000,0.000000,0.000000,7.649400
1751195718.059450,0.000000,0.000000,0.000000,-12.013950
1751195718.109600,0.000000,0.000000,0.000000,-12.013950
1751195718.159400,0.000000,0.000000,0.000000,-12.013950
1751195718.359400,0.000000,0.000000,0.000000,0.000000
1751195718.409450,0.000000,0.000000,0.000000,0.000000
1751195718.459400,0.000000,0.124440,0.000000,0.000000
1751195718.509500,0.000000,0.124440,0.000000,0.000000
1751195718.559400,0.000000,119.929050,0.000000,0.000000
1751195718.659400,0.000000,0.000000,0.000000,0.057950
1751195718.759500,0.000000,0.000000,0.000000,0.057950
1751195718.859550,0.000000,0.000000,0.000000,-0.003050
1751195718.909400,0.000000,0.000000,0.000000,-0.003050
1751195718.959650,0.000000,0.000000,0.000000,-0.003050
1751195719.009500,0.000000,0.000000,0.000000,-0.003050
1751195719.109550,0.000000,0.000000,0.000000,0.057950
1751195719.159450,0.000000,0.000000,0.000000,0.057950
1751195719.259450,0.000000,0.000000,0.000000,0.000000
1751195719.309400,0.000000,0.000000,0.000000,0.000000
1751195719.359550,0.000000,0.000000,0.000000,0.000000
1751195719.409400,0.000000,0.000000,0.000000,0.000000
1751195719.459400,0.000000,0.000000,0.000000,0.000000
1751195719.559450,0.000000,0.000000,0.000000,0.000000
1751195719.609650,0.000000,0.000000,0.000000,0.000000
1751195719.659450,0.000000,115.500450,0.000000,-0.003050
1751195719.759600,0.000000,115.500450,0.000000,-0.003050
1751195719.809400,0.000000,115.500450,0.000000,-0.003050
1751195719.859550,0.000000,119.929050,0.000000,0.000000
1751195720.009450,0.000000,119.929050,0.000000,0.000000
1751195720.059550,0.000000,119.929050,0.000000,-0.012200
1751195720.109450,0.000000,119.929050,0.000000,-0.012200
1751195720.159400,0.000000,119.929050,0.000000,-0.012200
1751195720.309550,0.000000,0.000000,0.000000,0.000000
1751195720.359450,0.000000,0.000000,0.000000,0.000000
1751195720.459650,0.000000,0.000000,0.000000,-4.977600
1751195720.559450,0.000000,0.000000,0.000000,-4.977600
1751195720.609550,0.000000,0.000000,0.000000,-4.977600
1751195720.659600,0.000000,0.000000,0.000000,-0.003050
1751195720.709700,0.000000,0.000000,0.000000,-0.003050
1751195720.809650,0.000000,0.000000,0.000000,-0.003050
1751195720.909500,0.000000,119.929050,0.000000,0.000000
1751195720.959550,0.000000,119.929050,0.000000,0.000000
1751195721.009550,0.000000,119.929050,0.000000,0.000000
1751195721.059500,0.000000,0.000000,0.000000,0.000000
1751195721.109450,0.000000,0.000000,0.000000,0.000000
1751195721.159600,0.000000,0.000000,0.000000,0.000000
1751195721.209550,0.000000,0.000000,0.000000,0.000000
1751195721.259450,0.000000,30.992880,0.000000,0.003050
1751195721.309550,0.000000,30.992880,0.000000,0.003050
1751195721.359500,0.000000,30.992880,0.000000,0.003050
1751195721.459600,0.000000,119.929050,0.000000,0.000000
1751195721.509500,0.000000,119.929050,0.000000,0.000000
1751195721.559500,0.000000,119.929050,0.000000,0.000000
1751195721.609500,0.000000,119.929050,0.000000,0.000000
1751195721.659450,0.000000,0.000000,0.000000,0.000000
1751195721.709500,0.000000,0.000000,0.000000,0.000000
1751195721.759600,0.000000,0.000000,0.000000,0.000000
1751195721.809650,0.000000,0.000000,0.000000,0.000000
1751195721.859450,0.000000,0.000000,0.000000,0.000000
1751195721.909500,0.000000,0.000000,0.000000,0.000000
1751195722.009500,0.000000,0.000000,0.000000,0.000000
1751195722.059500,0.000000,119.929050,0.000000,0.000000
1751195722.109450,0.000000,119.929050,0.000000,0.000000
1751195722.209550,0.000000,119.929050,0.000000,0.000000
1751195722.259600,0.000000,0.000000,0.000000,0.000000
1751195722.309700,0.000000,0.000000,0.000000,0.000000
1751195722.359650,0.000000,0.000000,0.000000,0.000000
1751195722.409550,0.000000,0.000000,0.000000,0.000000
1751195722.609600,0.000000,119.929050,0.000000,0.000000
1751195722.659650,0.000000,0.000000,0.000000,0.000000
1751195722.709500,0.000000,0.000000,0.000000,0.000000
1751195722.759500,0.000000,0.000000,0.000000,0.000000
1751195722.809500,0.000000,0.000000,0.000000,0.000000
1751195722.859700,0.000000,0.000000,0.000000,0.000000
1751195722.909600,0.000000,119.929050,0.000000,0.000000
1751195722.959450,0.000000,119.929050,0.000000,0.000000
1751195723.059500,0.000000,0.000000,0.000000,0.000000
1751195723.109500,0.000000,0.000000,0.000000,0.000000
1751195723.209550,0.000000,0.000000,0.000000,0.000000
1751195723.259500,0.000000,0.000000,0.000000,0.000000
1751195723.359500,0.000000,0.000000,0.000000,0.000000
1751195723.409500,0.000000,0.000000,0.000000,0.000000
1751195723.459550,0.000000,0.000000,0.000000,0.000000
1751195723.509500,0.000000,0.000000,0.000000,0.000000
1751195723.609550,0.000000,0.000000,0.000000,0.000000
1751195723.709500,0.000000,0.000000,0.000000,0.000000
1751195723.759600,0.000000,0.023790,0.000000,0.000000
1751195723.809550,0.000000,0.000000,0.000000,0.000000
1751195723.859550,0.000000,0.000000,0.000000,-0.003050
1751195723.909600,0.000000,0.000000,0.000000,-0.003050
1751195723.959650,-31.997550,0.000000,0.000000,-0.003050
1751195724.009650,0.000000,0.000000,0.000000,-0.003050
1751195724.109600,0.000000,0.000000,0.000000,-0.003050
1751195724.209700,0.000000,0.000000,0.000000,-0.003050
1751195724.259500,0.000000,0.000000,0.000000,-0.003050
1751195724.309650,0.000000,0.000000,0.000000,-0.003050
1751195724.359550,0.000000,0.000000,0.000000,-0.003050
1751195724.409550,-160.555050,0.000000,0.000000,-0.003050
1751195724.459500,0.000000,0.000000,0.000000,-3.391600
1751195724.609550,0.000000,0.000000,0.000000,0.000000
1751195724.659600,0.000000,0.000000,0.000000,-0.003050
1751195724.759500,14.804700,0.000000,0.000000,-0.003050
1751195724.809500,0.000000,119.929050,0.000000,-0.003050
1751195724.859550,22.115550,119.929050,0.000000,0.000000
1751195724.909700,0.000000,0.000000,0.000000,0.000000
1751195724.959650,0.000000,0.000000,0.000000,0.000000
1751195725.059550,0.000000,0.000000,0.000000,0.000000
1751195725.159600,0.000000,0.000000,0.000000,0.000000
1751195725.309550,0.000000,0.000000,0.000000,0.000000
1751195725.409750,0.000000,0.000000,0.000000,0.000000
1751195725.559550,0.000000,0.000000,0.000000,0.000000
1751195725.659600,-15.994200,0.000000,0.000000,0.000000
1751195725.709550,0.000000,0.000000,0.000000,0.000000
1751195725.759500,0.000000,0.000000,0.000000,0.000000
1751195725.809550,0.000000,0.000000,0.000000,0.000000
1751195725.859700,0.000000,119.929050,0.000000,0.000000
1751195725.909750,0.000000,0.000000,0.000000,0.000000
1751195726.059650,0.000000,0.000000,0.000000,0.000000
