t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195544157,59.9256,63.4914,0.0,0.0
1751195544207,60.1452,63.6138,0.0,0.0
1751195544256,59.5836,63.198,0.0,0.0
1751195544306,59.4612,63.2466,0.0,0.0
1751195544357,60.3648,63.1008,0.0,0.0
1751195544407,60.6348,63.2232,0.0,0.0
1751195544457,59.706,62.0262,0.0,0.0
1751195544506,60.048,62.9532,0.0,0.0
1751195544556,60.6582,63.1494,0.0,0.0
1751195544606,60.1938,62.0496,0.0,0.0
1751195544656,60.0228,61.1712,0.0,0.0
1751195544706,60.4134,61.83,0.0,0.0
1751195544757,60.5844,63.1494,0.0,0.0
1751195544807,59.8284,63.2952,0.0,0.0
1751195544857,59.6574,63.2718,0.0,0.0
1751195544906,60.0228,63.1746,0.0,0.0
1751195544956,60.1938,63.1746,0.0,0.0
1751195545007,60.1218,63.1494,0.0,0.0
1751195545056,59.8032,62.3682,0.0,0.0
1751195545106,59.9508,62.6112,0.0,0.0
1751195545156,60.4872,63.0036,0.0,0.0
1751195545206,59.7798,61.83,0.0,0.0
1751195545256,59.364,61.5132,0.0,0.0
1751195545306,60.2442,63.5886,0.0,0.0
1751195545356,59.4126,63.9792,0.0,0.0
1751195545406,57.996,62.2206,0.0,0.0
1751195545456,58.3866,63.9558,0.0,0.0
1751195545507,58.7286,64.0278,0.0,0.0
1751195545557,59.364,63.3438,0.0,0.0
1751195545607,59.3154,61.5384,0.0,0.0
1751195545656,59.4612,61.8552,0.0,0.0
1751195545707,59.7798,62.9046,0.0,0.0
1751195545757,58.9734,62.8326,0.0,0.0
1751195545807,58.6314,62.3916,0.0,0.0
1751195545907,59.877,63.2466,0.0,0.0
1751195545957,58.7772,62.1972,0.0,0.0
1751195546006,59.3154,63.198,0.0,0.0
1751195546056,59.2182,62.9298,0.0,0.0
1751195546106,58.7772,62.2206,0.0,0.0
1751195546157,59.5098,62.5392,0.0,0.0
1751195546206,59.9256,63.027,0.0,0.0
1751195546257,59.877,62.7588,0.0,0.0
1751195546307,60.1938,62.7102,0.0,0.0
1751195546356,59.8518,62.685,0.0,0.0
1751195546407,59.535,62.4654,0.0,0.0
1751195546456,59.5602,62.514,0.0,0.0
1751195546506,59.6322,62.6112,0.0,0.0
1751195546556,59.7546,62.5626,0.0,0.0
1751195546607,59.877,62.5878,0.0,0.0
1751195546657,60.2676,62.3196,0.0,0.0
1751195546706,60.4386,62.1,0.0,0.0
1751195546757,59.6574,62.514,0.0,0.0
1751195546807,59.7546,63.3438,0.0,0.0
1751195546857,60.1938,63.2232,0.0,0.0
1751195546907,60.1938,64.3464,0.0,0.0
1751195546957,60.3162,65.079,0.0,0.0
1751195547006,60.4872,65.1276,0.0,0.0
1751195547056,59.9742,65.6154,0.0,0.0
1751195547106,59.9742,64.2978,0.0,0.0
1751195547156,60.8778,63.711,0.0,0.0
1751195547206,61.1964,63.7596,0.0,0.0
1751195547256,61.4394,63.6138,0.0,0.0
1751195547306,61.8552,63.54,0.0,0.0
1751195547357,62.7336,62.856,0.0,0.0
