t,amk_torque_limit_neg_right,amk_torque_limit_pos_right,amk_torque_target_right,amk_control_right
1751195985.609650,0.000000,214.200000,26.500000,1795.000000
1751195985.619450,0.000000,214.200000,23.000000,1795.000000
1751195985.629450,0.000000,214.200000,23.000000,1795.000000
1751195985.639450,0.000000,214.200000,23.000000,1795.000000
1751195985.649450,0.000000,214.200000,23.000000,1795.000000
1751195985.659400,0.000000,214.200000,23.000000,1795.000000
1751195985.669450,0.000000,214.200000,22.200000,1795.000000
1751195985.679450,0.000000,214.200000,22.200000,1795.000000
1751195985.689400,0.000000,214.200000,22.200000,1795.000000
1751195985.699450,0.000000,214.200000,22.200000,1795.000000
1751195985.709400,0.000000,214.200000,22.200000,1795.000000
1751195985.719450,0.000000,214.200000,8.500000,1795.000000
1751195985.729450,0.000000,214.200000,8.500000,1795.000000
1751195985.739400,0.000000,214.200000,8.500000,1795.000000
1751195985.749450,0.000000,214.200000,8.500000,1795.000000
1751195985.759450,0.000000,214.200000,8.500000,1795.000000
1751195985.769400,0.000000,214.200000,4.300000,1795.000000
1751195985.779450,0.000000,214.200000,4.300000,1795.000000
1751195985.789450,0.000000,214.200000,4.300000,1795.000000
1751195985.799400,0.000000,214.200000,4.300000,1795.000000
1751195985.809400,0.000000,214.200000,4.300000,1795.000000
1751195985.819700,0.000000,214.200000,3.400000,1795.000000
1751195985.829450,0.000000,214.200000,3.400000,1795.000000
1751195985.839400,0.000000,214.200000,3.400000,1795.000000
1751195985.849650,0.000000,214.200000,3.400000,1795.000000
1751195985.859400,0.000000,214.200000,3.400000,1795.000000
1751195985.869450,0.000000,214.200000,4.300000,1795.000000
1751195985.879450,0.000000,214.200000,4.300000,1795.000000
1751195985.889400,0.000000,214.200000,4.300000,1795.000000
1751195985.899450,0.000000,214.200000,4.300000,1795.000000
1751195985.909400,0.000000,214.200000,4.300000,1795.000000
1751195985.919400,0.000000,214.200000,4.300000,1795.000000
1751195985.929450,0.000000,214.200000,4.300000,1795.000000
1751195985.939400,0.000000,214.200000,4.300000,1795.000000
1751195985.949450,0.000000,214.200000,4.300000,1795.000000
1751195985.959400,0.000000,214.200000,4.300000,1795.000000
1751195985.969400,0.000000,214.200000,4.300000,1795.000000
1751195985.979450,0.000000,214.200000,4.300000,1795.000000
1751195985.989450,0.000000,214.200000,4.300000,1795.000000
1751195985.999450,0.000000,214.200000,4.300000,1795.000000
1751195986.009450,0.000000,214.200000,4.300000,1795.000000
1751195986.019450,0.000000,214.200000,3.400000,1795.000000
1751195986.029650,0.000000,214.200000,3.400000,1795.000000
1751195986.039400,0.000000,214.200000,3.400000,1795.000000
1751195986.049450,0.000000,214.200000,3.400000,1795.000000
