t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195774.209800,1.000000,5.440000,0.000000,0.000000,-20.000000,3.840000,1.600000
1751195774.259350,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.309700,1.000000,5.440000,0.000000,0.000000,-20.000000,4.000000,1.600000
1751195774.359350,1.000000,4.960000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.409450,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.459550,1.000000,4.960000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.509300,1.000000,5.440000,0.000000,0.000000,-20.000000,3.840000,1.600000
1751195774.559400,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.609300,1.000000,5.440000,0.000000,0.000000,-20.000000,3.680000,1.600000
1751195774.659700,1.000000,4.800000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.709850,1.000000,4.640000,0.000000,0.000000,-20.000000,3.200000,2.000000
1751195774.759500,1.000000,4.800000,0.000000,0.000000,-20.000000,3.360000,1.600000
1751195774.809900,1.000000,4.480000,0.000000,0.000000,-20.000000,3.040000,1.600000
1751195774.859500,1.000000,4.160000,0.000000,0.000000,-20.000000,2.720000,1.600000
1751195774.909650,1.000000,3.200000,0.000000,0.000000,-20.000000,2.240000,2.000000
1751195774.959550,1.000000,2.720000,0.000000,0.000000,-20.000000,2.240000,2.000000
1751195775.009600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,2.000000
1751195775.059550,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,1.600000
1751195775.109800,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,2.800000
1751195775.159400,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,6.800000
1751195775.209400,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,16.400000
1751195775.259600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,25.200000
1751195775.309600,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,32.000000
1751195775.359450,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,36.400000
1751195775.409550,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,37.600000
1751195775.459600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,38.000000
1751195775.509350,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,38.000000
1751195775.559950,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,38.000000
1751195775.609750,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,37.600000
1751195775.659650,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,39.200000
1751195775.709450,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,42.000000
1751195775.759300,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195775.809550,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195775.859550,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195775.909450,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195775.959950,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195776.009600,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195776.059550,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195776.109550,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195776.159350,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195776.209300,1.000000,2.720000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195776.259650,1.000000,2.880000,0.000000,0.000000,-20.000000,2.560000,44.000000
1751195776.309900,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.400000
1751195776.359900,1.000000,2.240000,0.000000,0.000000,-20.000000,2.240000,44.800000
1751195776.409400,1.000000,2.720000,0.000000,0.000000,-20.000000,2.240000,46.400000
1751195776.459250,1.000000,2.880000,0.000000,0.000000,-20.000000,2.400000,51.600000
