t,dash_btn2_pressed,dash_btn1_pressed,st_wheel_btn4_pressed,st_wheel_btn3_pressed,st_wheel_btn2_pressed,st_wheel_btn1_pressed
1751195607.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.502200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.552200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.602200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.652200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.752200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.802200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.852200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.902200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195607.952200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.052200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.102200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.152200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.252200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.302200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.352200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.402200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.502200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.552200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.602200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.652200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.752200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.802200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.852200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.902200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195608.952200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.052200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.102200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.152200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.252200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.302200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.402200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.502200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.552200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.652200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.752200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.802200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.902200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195609.952200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.052200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.102150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.152200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.202200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.252150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.302200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.352150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.402200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.452200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.502150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.552200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.602150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.652150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.702200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.752150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.802200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.852150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.902150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195610.952200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.002150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195611.052150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
