t,ams_voltage_min_8,ams_voltage_min_7,ams_voltage_min_6,ams_voltage_min_5,ams_voltage_min_4,ams_voltage_min_3,ams_voltage_min_2,ams_voltage_min_1
1751195523.156750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.168000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.186650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.197900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.209200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.220450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.239250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.250500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.261800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.273050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.291800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.303100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.314350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.333000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.344250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.355550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.366800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.385450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.396750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.408000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.419300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.437950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.449200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.460500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.471750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.490500,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.501750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.513050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.524300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195523.542950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
